"crypto_name","count(trade_date)"
"Birds","598"
"Bismuth","481"
"Bispex","339"
"Bit Financial","14"
"Bit Trust System","308"
"Bit World Token","85"
"BitBall","632"
"BitBar","1710"
"BitBay","1578"
"BitCapitalVendor","795"
"BitCash","511"
"BitCherry","85"
"BitClave","989"
"BitCoal","1136"
"BitCoen","763"
"BitCoin One","611"
"BitCrystals","1721"
"BitDegree","994"
"BitDice","799"
"BitForex Token","414"
"BitGreen","517"
"BitGuild PLAT","389"
"BitKAM","281"
"BitKan","810"
"BitMart Token","825"
"BitMoney","726"
"BitNautic Token","656"
"BitNewChain","774"
"BitRent","909"
"BitRewards","802"
"BitScreener Token","789"
"BitSend","1746"
"BitShares","1744"
"BitStash","507"
"BitStation","851"
"BitTiger","14"
"BitTorrent","621"
"BitTube","955"
"BitUP Token","747"
"BitWhite","988"
"BitZ Token","826"
"Bitalgo","71"
"Bitball Treasure","360"
"Bitblocks","804"
"Bitbook Gambling","476"
"Bitcloud","1351"
"Bitcloud Pro","417"
"Bitcoffeen","238"
"BitcoiNote","806"
"Bitcoiin","643"
"Bitcoin","1746"
"Bitcoin & Company Network","294"
"Bitcoin 2","506"
"Bitcoin 21","1377"
"Bitcoin Adult","760"
"Bitcoin Atom","1005"
"Bitcoin BEP2","469"
"Bitcoin CZ","490"
"Bitcoin Cash","1178"
"Bitcoin Classic","261"
"Bitcoin Confidential","330"
"Bitcoin Diamond","1049"
"Bitcoin Fast","389"
"Bitcoin File","812"
"Bitcoin Free Cash","315"
"Bitcoin God","1008"
"Bitcoin Gold","1082"
"Bitcoin Incognito","793"
"Bitcoin Interest","896"
"Bitcoin Planet","799"
"Bitcoin Plus","1737"
"Bitcoin Private","947"
"Bitcoin Red","1048"
"Bitcoin Rhodium","561"
"Bitcoin SV","703"
"Bitcoin Scrypt","1305"
"Bitcoin Token","360"
"Bitcoin True","84"
"Bitcoin Turbo Koin","343"
"Bitcoin Vault","209"
"Bitcoin W Spectrum","425"
"Bitcoin X","379"
"Bitcoin Zero","715"
"BitcoinHD","506"
"BitcoinPoS","84"
"BitcoinRegular","47"
"BitcoinSoV","83"
"BitcoinV","303"
"BitcoinX","1036"
"BitcoinZ","1097"
"Bitcoinus","715"
"Bitcore","1269"
"Bitcurate","203"
"Bitdeal","679"
"Bitether","758"
"Bitex Global XBX Coin","558"
"Bitfex","367"
"Bitfinex Bitcoin Dominance Perps","14"
"Bitgear","75"
"Bitgesell","88"
"Bitgrin","229"
"Bithao","5"
"BitherCash","67"
"Bitnation","788"
"BitoPro Exchange Token","14"
